Family,Species,Tb,Tb err,Tb (N),Ref,Tb err type,Notes,,
Lacertidae,Acanthodactylus boskianus,34.33,5.07,26,Perez-Mellado (1992) J. Zool.,SD,,,
Lacertidae,Acanthodactylus erythrurus,33.1,3.25,79,"within Huey et al. 2009, Bauwens et al. 1995; Pough and Busack 1978; Pollo_Mateos_&_P‚rez-Mellado_1989; TB data: Carretero and Llorente 1995 (SCientia Herpetologica)",SD,"**Presented Median Tsel, so maybe can use error for Topt? Topt has SE. From same paper (Bauwens et al. 1995; Evolution)",,
Lacertidae,Acanthodactylus longipes,34.26,2.91,8,Perez-Mellado (1992) J. Zool.,SD,,,
Lacertidae,Acanthodactylus scutellatus,33.2,4.64,71,Perez-Mellado (1992) J. Zool.,SD,,,
Scincidae,Acontias meleagris,21.8,2.4,3,Withers 1981,,,,
Scincidae,Acritoscincus duperreyi,,,,"CTmin and CTmax within Sunday 2011 (Under Bassiana duperreyi), Spellerberg 1972",,,,
Agamidae,Agama agama,36.1,,,Tb=Qu and Wiens 2020 (originally from James and Porter1979 Copeia; Bowker 1984 Physiol.Zool.; Ortega et al. 1991 J.Comp.Physiol.B),,,,
Agamidae,Agama hispida,36.2,0.14,215,Huey and Pianka 1977,SE,,,
Viperidae,Agkistrodon contortrix,27,,61,"Sanders & Jacob 1981 (found 27.05øC for juveniles and subadults, 24.52øC for adults in Sanders and Jacob 1981); Tb taken from Brattstrom 1965",,,,
Viperidae,Agkistrodon piscivorus,26.2,,,Brattstrom 1965,,,,
Gymnophthalmidae,Alopoglossus angulatus,,,,diele-vargas et al. 2018 (incorrect method for Tb measurements in original paper; Vitt et al. 2007),,,,
Gymnophthalmidae,Alopoglossus atriventris,,,,diele-vargas et al. 2018 (incorrect method for Tb measurements in original paper; Vitt et al. 2007),,,,
Iguanidae,Amblyrhynchus cristatus,33.1,,218,"Brattstrom 1965, Bartholomew 1966",,,,
Teiidae,Ameiva ameiva,36.1,0.3,,"diele-vargas et al. 2018(but the CTmax is super close to Brattstrom 1965, which I trimmed from here); Tb measurement taken from Simmons 2005 (not Sartorius et al.1999 BioConser)",,,,
Teiidae,Ameiva festiva,35.9,0.45,163,"within Sunday 2011, van_Berkum_et_al._1986 (Tb ) , cited also in van Berkum (1988)",,,,
Teiidae,Ameiva parecis,38.2,,54,diele-vargas et al. 2018,,,,
Teiidae,Ameiva polops,,,,Angeli et al. Ecol. App. 2018,,,,
Teiidae,Ameivula ocellifera,38.6,,,Vitt et al. 1995; Mesquita 2003 (can't use because they shot some lizards),,,,
Agamidae,Amphibolurus muricatus,36,1.22,6,"within Sunday 2011 (not found in Sunday), Spellerberg 1972 (could not find species), Light et al. 1966 (Tb data here), Heatwole and Firth 1982",,,,
Scincidae,Anepischetosia maccoyi,,,,CTmin and CTmax=within Sunday 2011,,,,
Dactyloidae,Anolis acutus,30.92,,131,Salazar et al. 2019 (McManus and Nellis 1973; Ruibal and Philibosian 1974; Gunderson et al 2018),,,,
Dactyloidae,Anolis aeneus,31,,91,Salazar et al. 2019 (Schoener and Gorman 1968; Roughgarden et al. 1981),,,,
Dactyloidae,Anolis aequatorialis,22.3,,2,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis agassizi,30.6,,40,Salazar et al. 2019 (Rand et al. 1975),,,,
Dactyloidae,Anolis allisoni,32.6,,240,Tsel: Medina et al. 2016 J. Th. Biol.,,,,
Dactyloidae,Anolis apletophallus,27.8,,1,Salazar et al. 2019 (Ballinger et al. 1970; Stapley et al. 2015),,,,
Dactyloidae,Anolis auratus,33.9,,36,"Tb came from diele-vargas et al. 2018, CT data from Ballinger et al. 1970",,,,
Dactyloidae,Anolis bahorucoensis,24.8,,30,"Cast et al. 2000 (Tb data from here); Sifers et al. 2001 (not in drive, but in citations of Cast et al. 2000); commented Tb data from Salazar et al. 2019 (Cast et al. 2000)",,,,
Dactyloidae,Anolis baleatus,28.5,,2,"B. Bodensteiner et al., unpubl. data",,,,
Dactyloidae,Anolis barbatus,28.6,,3,"Rodr¡guez-Schettino et al. 2010 (Tb 27.3, SD = 0.2, N=3), Leal and Losos 2000 (I calculated Tb 28.6, calculated SD as 4.51, N = 4 [one lizard out in the sun at 32.5, so pulls the mean up] ) Tb cited in Salazar et al. 2019 (Rodr¡guez-Schettino et al. 2010)",,,,
Dactyloidae,Anolis barbouri,27.3,,8,"Autumn & Losos 1997, Tb added from Salazar et al. 2019 (B. Bodensteiner et al., unpubl. data)",,,,
Dactyloidae,Anolis barkeri,24,,72,Salazar et al. 2019 (Birt et al. 2001),,,,
Dactyloidae,Anolis bartschi,26.1,,115,Salazar et al. 2019 (Estrada and Novo 1987,,,,
Dactyloidae,Anolis bicaorum,29.9,,142,"Logan et al. 2013, Salazar et al. 2019 (Logan et al. 2013)",,,,
Dactyloidae,Anolis bimaculatus,32.9,,30,Salazar et al. 2019 (Roughgarden et al. 1981),,,,
Dactyloidae,Anolis bonariensis,33.4,0.18,31,"Bennett and Gorman 1979, Salazar et al. 2019 (Bennett and Gorman 1979)",,,,
Dactyloidae,Anolis brasiliensis,31.62,,102,Salazar et al. 2019 (Mesquita et al. 2015),,,,
Dactyloidae,Anolis brevirostris,30.6,,54,Salazar et al. 2019 (Moster et al. 1992),,,,
Dactyloidae,Anolis capito,28.9,0.4,16,Vitt and Zani 2005; Salazar et al. 2019 (Vitt and Zani 2005),,,,
Dactyloidae,Anolis carolinensis,26.9,,448,"Van Berkum (1988): CTmin, CTmax; Licht 1968 for Tpref; Salazar et al. 2019 for Tb (which cited Lister 1976; Wilson and Echternacht 1987; Wilson and Echternacht 1990; Jenssen et al. 1996; Kolbe et al. 2012; Rubio 2012)",,,,
Dactyloidae,Anolis carpenteri,27.3,,1,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis chlorocyanus,30.41,,11,"B. Bodensteiner et al., unpubl. data",,,,
Dactyloidae,Anolis christophei,24.15,,8,"B. Bodensteiner et al., unpubl. data; Salazar et al. 2019",,,,
Dactyloidae,Anolis cooki,32,0.07,657,"Huey and Webster 1976: CTmax, Tsel; for Tb Salazar et al. 2019 (Lister 1976; Hertz 1992; Huey unpub. Data; Huey et al. (2009))",,,,
Dactyloidae,Anolis cristatellus,27.38,,657,"Huey and Webster 1976: CTmax, Tsel (mentioned in Heatwole et al 1969, CH), Salazar et al. 2019 for Tb (Lister 1976; Hertz 1992; Hertz 1992; Kolbe et al. 2012; Leal and Gunderson 2012)",,,,
Dactyloidae,Anolis cuprinus,30.7,,24,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis dollfusianus,28.4,,31,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis equestris,30.7,,,"Muchlinski et al. 1994: Tb data is possibly problematic, see comment for more",,,,
Dactyloidae,Anolis evermanni,25.9,,1,Heatwole et al 1969; Tb data and CTmax from Salazar et al. 2019 (Rand 1964; Hertz 1977; Gunderson et al. 2018),,,,
Dactyloidae,Anolis gadovii,30.5,,1,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis gemmosus,21,,34,Salazar et al. 2019 (Fitch et al. 1976),,,,
Dactyloidae,Anolis gingivinus,30.1,,216,Salazar et al. 2019 (Eaton et al. 2002),,,,
Dactyloidae,Anolis grahami,31.2,,43,Salazar et al. 2019 (Rand 1967; Lister 1976; Gunderson et al. 2018),,,,
Dactyloidae,Anolis gundlachi,23.75,,1415,"Huey unpublished (2009 paper supp.); Huey and Webster (1976): CTmax, Tsel; Salazar et al. 2019 (Hertz 1981; Hertz 1992; Huey and Webster 1976; Huey unpub. Data; Huey et al. (2009))",,,,
Dactyloidae,Anolis heterodermus,23.8,,98,"Salazar et al. 2019 (M‚ndez-Galeano and Calder¢n-Espinosa 2017; J.C. Salazar et al., unpubl. Data)",,,,
Dactyloidae,Anolis homolechis,31.8,,104,Salazar et al. 2019 (Ruibal 1961),,,,
Dactyloidae,Anolis humilis,26.2,,110,"van Berkum (1986): Ctmin, Ctmax; Salazar et al. 2019 (vanBerkum 1986; vanBerkum 1988)",,,,
Dactyloidae,Anolis longitibialis,28.9,0.2,101,"Munoz (unpubl.) Tsel; Munoz et al. (2014): Tb, CTmin, CTmax",SE,,,
Dactyloidae,Anolis marcanoi,29.1,0.6,48,"Munoz et al. (2014): Tb, CTmin, CTmax",SE,,,
Dactyloidae,Anolis oculatus,28.2,1.8,108,Brooks 1968,SD,,,
Dactyloidae,Anolis ortonii,30.3,,7,diele-vargas et al. 2018,,,,
Dactyloidae,Anolis planiceps,28.3,,19,diele-vargas et al. 2018,,,,
Dactyloidae,Anolis scypheus,27.3,,36,diele-vargas et al. 2018,,,,
Dactyloidae,Anolis shrevei,29.7,2.6,58,"Munoz & Losos (2018): Tb, Tsel. Munoz et al. 2014: CTmin, CTmax",SD,,,
Dactyloidae,Anolis strahmi,26.3,0.7,7,"Munoz et al. (2014): Tb, CTmin, CTmax",SE,,,
Dactyloidae,Anolis tandai,27.7,,33,diele-vargas et al. 2018,,,,
Dactyloidae,Anolis trachyderma,27.8,0.2,"Lara-Resendiz, & Diaz de la Vega 2013, Salazar et al. 2019 (Birt et al. 2001)",Vitt et al. 2003,,,,
Dactyloidae,Anolis tropidolepis,19.52,,343,"van berkum (1986): Ctmax, CTmin; Fitch 1972",,,,
Dactyloidae,Anolis vermiculatus,29.7,,16,Salazar et al. 2019 (Rodr¡guez-Schettino et al. 2010),,,,
Dactyloidae,Anolis wattsii,33.3,,17,Salazar et al. (Roughgarden et al. 1981),,,,
Dactyloidae,Anolis whitemani,27.9,1.1,17,"Munoz et al. 2014: Tb, CTmin, CTmax; Salazar et al. 2019( Mu¤oz et al. 2014)",SE,,,
Dactyloidae,Anolis woodi,21.5,,1,Salazar et al 2019 (Fitch et al. 1976),,,,
Lacertidae,Archaeolacerta bedriagae,32,2.81,90,Bauwens et al. 1990,,,,
Colubridae,Arizona elegans,27,,16,"Cowles & Bogert 1944, Brattstrom 1965",,,,
Gymnophtalmidae,Arthrosaura reticulata,27,,34,diele-vargas et al. 2018,,,,
Teiidae,Aspidoscelis ceralbensis,40.1,,13,Brattstrom 1965 (Cnemidophorus ceralbensis),,,,
Teiidae,Aspidoscelis gularis,38.9,,3,Brattstrom 1965;,,,,
Teiidae,Aspidoscelis hyperythrus,39.2,,17,"Brattstrom 1965; Soul‚ 1963; Bostic 1966 (body temp not found, reproductive organs) Cnemidophorus hyperythrus",,,,
Teiidae,Aspidoscelis tigris,40,2,955,within Sunday 2011 (not found in Sunday); van berkum 1988,,,,
Corytophanidae,Basiliscus basiliscus,26,,1,Brattstrom 1965,,,,
Corytophanidae,Basiliscus plumifrons,31.7,0.5,20,Hirth 1965,,,,
Corytophanidae,Basiliscus vittatus,35,,720,"Hirth 1963, Brattstrom 1965",,,,
Chamaeleonidae,Bradypodion pumilum,30.1,,,"Andrews 2008, Burrage 1973",,,,
Scincidae,Brasiliscincus heathi,34.6,0.1,,"Vrcibradic and Rocha 1998 (for Tb cited Vitt 1995, book: 1995. ""The ecology of tropical lizards in the caatinga of northeast Brazil. Occ. Pap. Oklahoma"")",,,,
Scincidae,Carlia fusca,30.8,,59,Brattstrom 1965,,,,
Scincidae,Carlia rhomboidalis,28.9,,18,Greer 1980; Brattstrom 1965,,,,
Scincidae,Carlia rubrigularis,,,,"Munoz et al. 2016 (CTmin, CTmax, Topt); Munoz et al. 2016: Tsel",,,,
Scincidae,Carlia vivax,30.5,0.33,41,"Greer 1980; Singh, Smyth and Blomberg 2002",,,,
Colubridae,Carphophis amoenus,26.4,,20,Brattstrom 1965,,,,
Gymnophthalmidae,Cercosaura argulus,29,,13,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Cercosaura eigenmanni,29.7,,20,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Cercosaura manicata,29.7,,2,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Cercosaura ocellata,28.1,,13,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Cercosaura oshaughnessyi,29.5,,13,diele-vargas et al. 2018,,,,
Chamaeleonidae,Chamaeleo dilepis,31.2,,328,"within Sunday 2011 (not found in Sunday), Bennett 2004, Brattstrom 1965",,,,
Boidae,Charina bottae,14.8,,3,Brattstrom 1965,,,,
Sphaerodactylidae,Chatogekko amazonicus,27.5,,36,"Diele-Viegas et al. (2017), Vitt et al. 2005",,,,
Gekkonidae,Chondrodactylus angulifer,26.2,,13,"Stebbins 1961, Brattstrom 1965",,,,
Gekkonidae,Christinus marmoratus,26.6,0.42,3,"Light et al. 1966, Angilletta and Werner 1998 (Tb = 19.6 in the morning, 14.1 in the night, error is 0.72 at morning and .27 at night, n = 5 at morning and n = 7 at night) , Kearney and Predavec 2000",,,,
Teiidae,Cnemidophorus cryptus,39.4,,11,diele-vargas et al. 2018,,,,
